,text,label
0,"Wives should never speak at conventions or on national TV unless they are a salaried offical or employee in the administration. What they say is essentially dishonest and phony otherwise. But, more important, we desperately need to abolish the use of the term *First Lady*. We are not an aristocracy. The wife of the President has no official role and not a penny should be spent on an office, staff, her clothes, her trips, her hobbies or her press. When we have a woman as President (Clinton's speech last night was the kick-off the 2016 Hillary campaign) the absurdity of giving titles to spouses will be obvious. Enough of the *royal* Presidency. Michelle Obama is a terrific speaker and she should run for office. But until she does, she should keep quiet. ( Ann Romney as well) Let their husbands stand or fall on their own accomplishments.",1
1,"The police notoriously want a monopoly of firepower, if for nothing more to avoid career ruining mistakes such as shooting the good guy - we all know that some police are not that choosy about who they shoot. For me the thought of students helplessly slaughtered at Columbine and Virginia Tech while the police waited outside for the gunfire to stop is enough to prefer the possibility that an armed student or teacher could stop such a massacre. We are again carrying culture so he same people we carry firearms on campus presumably carry outside school and the students and teachers encounter these same people off campus. Not much increased risk, but with the possibility of avoiding a slaughter while the police sit on their hands. Never forget that legally the police have no duty to protect you, you have the duty to protect yourself - the nlaw says the police are only there to assist you.",1
2,"What is the motivation of people who lobby Congress to strengthen the patent monopoly? Is it the public good? Not likely. Like extending the copyright term to life of the author plus 80 years, does that fulfill the constitutional rationale to 'promote the Progress of Science and useful Arts?' It's ironic that since individual inventors are now asserting patents more against corporations, Congress and the President are up in arms about patent 'trolls.' Myriad seems the biggest 'troll' of all, blocking research and testing. Patent were fine when they lead to high pharmaceutical company profits and kept small players without patent portfolios to cross license out of markets, but patents become a problem when inventors sue companies?",1
3,I was born in London my parents came to America at the age of 21 I was naturalized I chose to keep my British passport because it is my right. My parents are Irish born My father waited the required 7 yrs to become naturalized my mother never did. of course she has a SS# I can also claim Irish citizenship as well which I plan to do also hopefully in the near future,1
4,"Yes, let's legalize doping. It is now so common that athletes should no longer be sponsored by national organizations but by pharmaceutical companies. We could move to a Formula 1 model, where the driver is racing for a team, which is sponsored by a major car manufacturer. In analogy, an Olympic athlete would be competing for a team of physicians and trainers, promoted by a major drug company like Pfizer, Bayer or Roche. I bet this would make the whole process not just more transparent. It would also be more exiting...",0
5,"A well groomed man is not un-manly. A real man does not need to look like big foot and act like a neanderthal to be manly. Manliness is stepping up to ones responsibilities without question, being courteous, gracious and fair. A real man is not afraid to be gentle, kind and helpful. A real man is confident enough in his manliness to not care if anyone thinks he is manly enough!",1
6,"Starting from the basic premise, are libraries necessary? Well, if its July or December, its Christmas everday if a Child holds a parents attention for even a few seconds to find a book. The cherry on top is the parent reading with the child.",0
7,"Tell the surviving family members of the quarter million Syrians killed by Assad with Iranian troops, arms and money, that Iran is not a threat. Tell that to the U.S sailers who were seized and humiliated in violation of international law. Tell that to the hostages just released from Iranian dungeons. Tell that to the Saudi Ambassador who was targeted for assassination in Washington D.C. in December of 2012. Tell that to the Israelis who face endless missiles Iran supplies to terrorists. There is no country in the world working as hard to sow violence, terror and hatred as is Iran. Intellectuals safe in their ivory towers may not understand this, but normal people do.",0
8,sure eliminate capital gains and tax it as regular income. Also except for legitimate business costs eliminate other loopholes and make deductions like the home interest tax means tested. But I'm sure that's not what any of the rich folks have in mind.,1
9,"We hear pompous talks every year at the UN General Assembly about the inalienable rights of the citizens of our planet, except that those talks never seem to include the rights of the Palestinian person! Palestinians must be from some other planet, it seems! We have to check the make-up of their DNA!",0
10,I believe working in a legal brothel cuts down on violence and abuse.Here we are safe and here by choice.People that come here are also safe we are tested weekly and all sex is protected and safe.In a legal establishment keeps girls off the streets and away from abusive pimps. I have been working in a legal brothel for about 6 months and I am happy here.,1
11,"On the island of Curacao legal prostitution has been there since I was a tiny toddler there (60 years now). That place, Campo Alegre (or Happy Place), was always bussy and always gleaming reports from indeed happy locals and tourists (Americands included - they were more than just happy; they went nuts). No diseases and within walking distance from the airport. Same health security in places like Amsterdam, Hamburg, etc. Grow up America.",1
12,"full disclosure: I own a Jetta TDI that aside, I can go along with the premise that our business environment is already heavily regulated--I live and die with building codes and construction permitting officials. and I would agree with the assertion that another telephone book's worth of regs would not have deterred VW's deliberate and diabolical circumvention of well established regs. I could also go along with industry having a very important voice in the framing of regulations. But where, Mr Adams--where, pray tell, does it follow that 'businesses are...best equipped to regulate themselves?' Your syllogism is lacking a critical premise.",0
13,"I would propose that Justices serve a fixed term, perhaps 12 years. No President should be allowed to make appointments that determine Supreme Court decisions for decades after that President is out of office or dead and all his policies possibly repudiated.",0
14,"Like Mitt Romney, she has no regard for the American lower class and is ignorant of those unlike her. Newflash: lots of Americans do not graduate college, or even high school and could do the manual labor commonly done by immigrants. Watch any kitchen, landscaping, roofing, tree trimming, nonunion construction or day labor crew and see if you can spot anyone who is not an illegal immigrant other than the boss who is enjoying paying them below minimum wage, with no benefits, under the table.",0
15,"The issue is not whether refugees are good people or not -- rather the concern should be that those fleeing war in Syria should not all be going to Europe. A greater effort needs to be made to keep them in the Middle East, in nations closer to their home, if not indeed in their own country. THe solution to turbulence in Syria, Iraq, Afghanistan, Sudan, or any other nation, is not that these nation's whole populations go to Europe. No nation should be borderless, allowing entry to anyone who walks in. No nation can accomodate an endless number of refugees or immigrants. Nations can and should have workable policies on immigration, capable of being followed and enforced. THis is an issue quite separate from that of terrorism, and one that has been a major political issue in the US for decades already.",0
16,"Obama is absolutely right. But it's not just death in war - homicide is way down. People think that the murder rate is high because the news tells us about horrible murders. It is a fact that the homicide rate is lower than it has ever been: you were far more likely to die by murder in every other era. We have the data for Western Europe going back about 1000 years, and the murder rate is lower than its ever been. Even hunter gatherers, whom we like to glorify as living peaceful, natural lives, had higher murder rates than we do.",1
17,"Anything that can be biologically grown and then consumed in America - should stay in America, while resisting imports on farm products that form core products in the American food market; to protect against disease, preserve FDA standards, and preserve our food market from being export dependent but if the experts are correct that the Government is not properly distributing Farm subsidies - where certain crops, in comparison to the whole American Farming system, are given more money than what is needed to support them - then the Farm Subsidy program needs to be shut down and rebuilt to reflect the actual areas that do need support. As much preserving the American domestic food market, it has to be balanced properly in response to the Federal deficit, in order to properly protect and fund America's farms.",0
18,"We, and our government, have allowed the airlines to consolidate down into monopolies. Air travel is really no different than any other travel, a human necessity that should be copiously regulated. Make airlines like utilities, available and accountable to everyone.",0
19,"I have never understood the concept of the tax advantaged capital gain. Some say the gain has already been taxed when the income ws earned to make the investment. By that standard, only ordinary w-2 income should be taxed at standard marginal rates. A person who purchases 100 shares of XYZ for $50.00 a share and sells it to another investor for $100.00 a share makes $50.00 a share. Not one penny goes to XYZ company to, say, purchase equipment or even better, hire another employee (unless of course it's an IPO). It seems to be just another tax advantage written into law by millionaires for the benefit of the wealthy investment class. Tell me that people would not invest in capital markets if there was no tax advantage and I would laugh. It would be like suggesting that people would not work as plumbers or accountants if they did not get a tax break of 50%",1
20,"By all means, let's set up a system that picks and chooses who's good enough to be a citizen. A tech genius who, as an illegal immigrant has a child. Pull some strings. A migrant worker who has a child? No way. And let's not start the Constitutional Amendment process to overturn Citizens United and prohibit congressmen and congresswomen from receiving ANY outside income. Let's do that for Birthright Citizenship, because that's the New American thing to do. Let's let John Eastman get the process started.",0
21,"I find a lot of valuable information in the comments sections on the NYTimes. For the most part, the comments remain civil, and they are worth reading. Some commenters have even built up quite a following for their well-thought-out remarks. My Boston Globe subscription, not so much. The online comments are often vulgar and I usually don't bother reading them. Some of us aren't on social media -- I don't have a facebook or twitter account, and haven't seen the appeal of starting now. So the comment sections are still quite relevant to me!",0
22,"I am against burning books, but being born with the Jester's gene makes me want to poke pomposity in the caboose. Also, when people get upset and afraid of things that can't really hurt them (like riding in an elevator) it is good for them to face their fears and see that nothing terrible happens. So what if one were to burn a Kindle that contained a copy of every religion's special literature? That way, maybe, we could all see that these relics are not where God's love lies; and destroy an insidious device in the bargain.",0
23,"The world is a mean, cold, hard, ugly place. A soveriegn nation's highest call is to protect its citizens. Allowing tens of thousands of random refugees asylum makes a nation less secure. A nation must take care of its own first. Only then can it help outsiders. Ideally, those two objectives will not clash. In a time of war, however, they are in direct conflict. Europe needs to not only allow zero new refugees in, but it needs to cancel all current visas and issue no new visas to citizens from the Middle East. When this war is over, when Islam in the Middle East finally undoes its extremist rigging, then immigration and visas may begin again. After all, in 1943, we weren't taking in any German or Japanese refugees, or allowing them to come in on student or work visas. Every nation in the Middle East, with the possible exception of Jordan, is a a grave enemy to values and security of the West. This is a war now. We must act on a war footing.",0
24,I will definitely not send my kid to a university/college or anywhere in place of education.. ( not a cowboy college ) Worst case I will send my kid to alternative places like California/NewYork or Britain/Australia/Canada which provides equally attractive colleges at more affordable prices and less guns of course.,0
25,"Most restaurant food is already too salty. I'd rather they salted their food LESS and let us control our salt at the table. I don't use table salt, myself. I lightly season my food and then if others want more salt they can have it. Salt should be treated as an adjunct. Food should be seasoned with spices. The salt is there to increase those flavors, not to be a flavor in and of itself. At least that's how it worked in my restaurant, and that's what I do at home now that I'm retired.",1
