text,label
You are not a good person if you take freedom away from someone without cause.  You are not a good person if you shove your religion down the throat of non-believers.  You are not a good person if you deride another's love as unworthy.  These things make you a  disgusting  person.,1
"Does anyone really think their family is absolutely normal?  And what about all the children being raised by single moms and dads who've divorced, or never married? They're teased in school too.",1
I'm glad gays can't reproduce maybe one day but not today I will always hate gays and so will everybody I know :),1
"Maybe not, but there is an emotional reason to engage in homosexual behavior",1
"However, they DO NOT get to claim the title of marriage and receive the benefits of marriage when there is no such a thing!  http://www.merriam-webster.com/ dictionary/marriage   read it and weep!   Please read my first argument, where you will see me clearly accept that a gay marriage is technically impossible. However, we can bend the rules a little bit, and Merriam Webster agrees with me. I quote   the state of being united to a person of the same sex in a relationship like that of a traditional marriage  .  So, as you can see, gay marriage is possible in a non-technical way.   It is not recognized by our constitution as a right. The end. And it won't get added. If a state wants to legalize it they can try.   Firstly, that's your constitution, not mine. Now, I'll be honest. I don't know a great deal about the constitution. But I know that it's not the be all and end all of everything. Public support for gay marriage is at an all time high. The President publicly came out to support it. If that's not convincing enough, I don't know what is.",0
"If love is the criteria for marriage what do you do with all the arranged marriages that occurred throughout history, are they not marriages by your definition.   This notion of romantic love proceeding marriage is a fairly recent development. It used to be that love developed and grew within the context of a lifelong commitment. We have just reversed the order. And we wonder why over 50% of marriages end in divorce. Before we remove a fence we ought to ask why it was there in the first place.  About equality; it depends on what you mean by equality.  About differences: it ought to persuade you if you recognize a difference. Because that's the whole point of the debate. Some people want to say there is no difference when there clearly is one.",0
"1st. . .the question is not is being gay good, bad or indifferent? It is about gay marriage.  For the record I have not one issue with the type, sex, number or racial, religious background of peoples bed, shed or head partners. Consenting adults can consent to anything.  So unless someone says ""ew your gay!?"" stick to the subject please and quit reading even more into the topic than you already are. . .  Sure let's use the analogy of the animal kingdom. Sure gay relationships abound. . .but how about a gay mated pair? And even so as animals is this going to function for them as a regular mated pair?",0
"i just wanted to add this,  but   since aids comes from monkies....  im pretty sure gay people didnt spread the first strain through humanity.   i would venture to guess, that some straight guy out in the jungle on some expedition thing, got really horny and fucked a monkey.   a gay guy, would just go have sex with the other gay guys there. and, they tend to be cleaner and pickier, so i dont think they would go for a monkey....  0.0  (yes, an immature thing to say, but hey, alot of the people here are already saying stupid crap, i thought id add this too)",1
"Then if you're different pick a different word. Traditionally marriage has meant a union between a man and a woman. To use the same word for same sex partners dilutes the word and makes it less descriptive. It also pisses of the religious right and makes for great CD fodder ;)  You claim to be different but you want to seen as the same. That doesn't make any sense to me. Let us see you as different and accept you for what you are. There's no need to put a requirement forcing us to see you as the same.  BTW, claiming that gays are genetetically different and supporting genetic engeneering means that someday some one will want to eradicate the gay gene. It's a two edge sword that cuts both ways. You have to love it ;)  Remember, vote twice, vote often ;)",1
"What are you talking about? I was responding to the fact that truthfinder said gay marriage went against ""laws of god as seen in science."" I never stated my opinion as to whether homosexuality was good, bad or neither, either. I was disputing his ideas. Laws  should  be based on rationality. But how does gay marriage harm anyone? Truthfinder's answer was nonsensical; almost as nonsensical as your questions are.    And even so as animals is this going to function for them as a regular mated pair?   I can't even respond to that because it makes no sense! From now on, reread what you type and think ""what the fuck am I talking about"" before you press the submit button. Okay?",1
"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",0
Hell no! Leave that crap up to the individual states to decide! MORE STATE'S RIGHTS!,0
I applaud your ability to not impose your personal beliefs on others. If only more religious people could be like you.,1
"whilst god does not discriminate it says in the bible that man must not lie with man, this geeration seems to think that you are above the law of the bible and if this is so just look towards god and ask him 'am i allowed?' and the answer will be do as you will but ot for lust only for love   jacob  yet the systematic abuse of this freedom to sleep with whom and whoever you want for love was jesus lega cy and he said for give them father for they know not what they do and this was his last words as a man so do you really want to go behind gods back and show yourself as heathans he died for you once and when the second coming arrives he shall do it again if you caqn live with the shame for breaking of the covenants is your forty pieces of silver if your heart is breaking speak to jeasus if you have lost your faith speak to the lord but if you continue to be promiscuous without asking for forgiveness then you may have your money and laugh for the lords say it will not happen again",0
"""why homosexuality is wrong that are not religious.""   That is because God is involved with everything. You people keep talking about ""the bible the bible"", well if you don't believe in God which both of you don't than the it is irrelevant. This is about God.",0
"There is no non-religious (and undefendable) reason to not allow it when biologically, psychologically, culturally, historically it is accepted.",1
