text,label
"That point of view is very scary. You think the government should be able to control your personal life even when your minding your own business and hurting no one. And yet also allow big corporations to push substances more deadly than marijuana on consumers (Alcohol, Tobacco, Prescription Drugs).   Legalization is about the fact that a person should have the right to privacy and the choice to live their lives how they see fit as long as they hurt no one else. Consider the fact that prescription drugs have become the number one killer in these recent years. People are going to get high off what is available; why restrict them to things that are more dangerous. And why criminalize people who choose to use natural herbs instead of stuff created in laboratories.  Last I checked America was a country of liberty and freedom; but I guess that doesn't mean the same thing in this last century. The founding fathers didn't want to have some central government dictating the citizen's daily lives. It is supposed to be a government by the people and for the people. And most importantly under the law of the constitution. People don't want anything they don't deserve; they only want the one thing supposedly guaranteed in this country; Freedom.  Now if you think its mindless self indulgence to want freedom than you must be a fascist or a communist or maybe just confused and controlled; regardless I pity you.",1
"Never legalize. Legalizing does not solve the problem but indeed makes the problem worse, end of story.",0
"If we legalize marijuana, it will make our economy worse than it is. With the adults that now think it'll be okay to do it, they will possibly become addicted. With that addiction, they will spend money they don't have on it. Then they won't be able to pay bills, get groceries, or do everyday things. This is just a thought, it's not my full opinion, but this is flowing through my mind. Part of me is saying yes, yet, the other part is saying no. It's a split decision for me.",0
"In this case, you want my liberty. Well, you can't always get what you want.",1
"I've seen you post on a lot of debates, and as funny as your jokes are (/sarcasm), I have to disagree with your point. Although people may not be able to remember things as well while high, I do not believe there has been any study done to see if there is actually a correlation between marijuana use and memory loss. If I am wrong then please post the study. (Also do you think that a little memory loss warrants prohibition?)",1
let me tell you guys somthing ciggerates kill you drugs give you a nice fell,1
"Yeah it's exactly like driving a tank down the street while you are drunk and there are kids around you. Except for the fact that it doesn't harm yourself or anyone else. Instead of using inane analogies, how about you tell me specifically how marijuana is dangerous and I will explain to you why you are wrong. If you want to be taken seriously in a debate, don't say abstract and ridiculous things like marijuana is a weapon and like a bullet. If marijuana is so dangerous as you seem to think it is tell me how.",1
I'm your personal reference and no matter who studies it it doesn't get any better or worse by having personal experience. It's what I KNOW and what I witnessed. The 70's have come and gone but that means nothing. Where do you get your pot from? Who broke it down? Who laced and cut it? Year in year out it's the same killswitch. I agree with your 2nd portion absolutely but not the 1st or 3rd. Did you not read the link I gave?.,0
"Yes. In comparison to those substances which we allow (alcohol and tobacco being the two most obvious) it is really no worse. It is far less potentially addictive than the other two, does not appear to have nearly as many physical ailments associated with it as tobacco or heavy alcohol use, and is much less likely to incite violence than alcohol. Some argue that this marijuana is a gateway drug. They forget that many people who use other drugs also began drinking first. The reason further drug experimentation is more likely to occur with pot use than with alcohol is not because pot ""leads one to search for a better high"" (otherwise we should expect similar results with alcohol, as it is more ""mellow"" than harder drugs) but is almost certainly because one is legal and the other is not. Legalization also increases the amount of information health agencies can get about its use and make it more likely for heavy users to get treatment. And it is simply ludicrous for our already strained prison and court systems to have to process people for possession and distribution of a substance that is roughly equivalent to substances we accept. And arguably the best point: we could stop using taxpayer money to crack down on dealers and instead tax pot sales via liscenced distributors. This is a particularly timely point given our government's deficit.",1
"Yes, there are no deaths related to the actual use for marijuana this past year or ever in terms of health reasons.",1
"The argument you are putting forth goes against the principle that the country's population can be trusted to make their own decisions as long as no-one else is harmed. Marijuana has a track record of being the safest drug around, safer even then alcohol.  Furthermore, the argument that terrorist groups benefit from the marijuana trade is just a myth. Most street-level cannabis dealers would get their product from someone who grows it in the same country - the profit margin of cannabis is small compared to other drugs so importing it is usually not financially worthwhile. Also, you're forgetting that ending the prohibition of marijuana would cut these suppliers out of the system and force them to go legit. Alcohol prohibition in the '30s forced alcohol into the hands of organised crime, and provided them with a source of income as well as putting the general population in danger of an unregulated alcohol market. Once the prohibition was lifted this took away the criminals' largest source of income and allowed the government to control the standards of alcoholic drinks. The same principle applies here - organised criminals would have one less source of income, and the rumoured 'dangerously strong strains of cannabis' could be outlawed so companies growing the plant would only sell it at a sensible and controlled strength.  Also, your argument about cannabis users experimenting with other drugs such as cocaine and heroin: this 'gateway drug' argument is simply unusable in the argument concerning legalisation because legalisation would remove the drug's gateway effects. The idea of cannabis being a gateway drug stems from the idea that, in pursuit of buying cannabis, an individual would associate themselves with the people who sell it: criminals. Drug dealers (like any businessman) naturally want to maximise their profit so they would offer up a stronger drug later on. The lack of distinction between cannabis and stronger drugs (because they're all illegal anyway) would mean the user is more open to trying these drugs. Legalisation would not only remove the criminal market but would also create a visible barrier between what is safe to try and what isn't.  In conclusion, the legalisation of marijuana would be, ultimately, a harm reduction measure. Gangs would lose a source of income and would become less powerful, users would no longer have to associate with criminals, and for once the population of what is meant to be a free country would have the power to make a decision that affects no-one but themselves. That isn't even touching on the other benefits of legalisation, including freeing up space in the over-crowded prison system, providing an additional source of government income in the form of tax and freeing up police time to tackle violent crimes.",1
"All of these statements have been made by the United States government over the past years. If you can find rebuttals for them, I'd love to hear them, but until then, I believe them. If you accept that terrorist organizations are funded by the drug trade and that marijuana is a gateway drug, then the third statement logically follows. If more people can use pot, then more will move on to harder substances, which will fund the terrorist orgs.",1
I'd say so. [;,0
