,text,label,ground_truth
0,"The father doesn't have to carry the baby for nine months and then have it wreak havoc on his body while he pushes it out of a hole four sizes too small. If he does make the offer to fully support the child without the mother being around, good for him, but he still can't force her to carry and birth it.",0,1
1,"You are incorrect in stating, ""if you kill a woman with child; you will be charged for two counts of homicide."" You would only be charged with two counts of homicide if the prosecution can prove the baby could have survived outside of the womb. If a doctor were to provide an abortion after 24 weeks, he or she would also be charged with homicide (unless the baby would not have been viable or was a threat to the health of the mother).",0,1
2,"Abortion is dumb, all the woman who have any are STUPID!!!! Abortion could ruin the race of mankind!! Then we would all be dead!!!!!!!!! AAAAAAAAAAAGGGGGGGGGGGGHHHHHHHHHHH!!!  I do NOT like the idea of abortion and obama is stupid to give federal funds to abortion!!!!",0,2
3,"I wrote this speech...read it and it will answer your questions.   Abortion: Choose Life-it begins at Conception:   Think about this. A girl had an abortion, thinking that the baby wasn’t living so it wouldn’t matter. But, after she had the abortion, she saw what she thought wasn’t living, and it actually was. The baby was living and she watched it die. From then on, she couldn’t even live with herself knowing that she killed a living human being.   This story that I just told you is true. A lot of women think that it isn’t a baby before they have the abortion, and I will explain to you that abortion is the killing of a living baby. Well, if life doesn’t begin at birth, then when does it begin? Life begins at conception. This is a fact, because there is a lot of proof that can back that fact up. For example, there is scientific proof and there is Biblical proof. To further explain what abortion is, I will talk about these important things: one, it is spiritually right that life begins at conception, two, how scientifically there is proof that life begins at conception, Three, what we can do about the abortions, and finally, why girls get abortions. Those are all the things that should be thought about, so I will be explaining them, to help you understand them.   Some woman have abortions because of these three things: one, They might think that they’re too young to have a baby, two, their boyfriend or spouse makes them have an abortion, three, if they do have the abortion the girl’s parents would get mad at her. The case also might be that she just doesn’t want to deal with the baby.   First, you probably ought to know what abortion is. Abortion is killing the baby inside you when you are pregnant. Every year 1.5 million babies are killed by abortion. That’s 125,000 babies killed a month, making it 4,000 babies killed each day, or one baby killed every 20 seconds, that is so amazingly awful. That is basically one murder happening every 20 seconds. How brutal. The fact that life begins at conception is spiritually right. As it says in the Bible; Jeremiah 1:5 says, “Before I formed you in the womb, I knew you, before you were born I set you apart.” The Bible says that life begins at conception, meaning that right at conception the baby becomes a living human being. There are many Bible verses that back up the fact that life begins at conception, like the one I just said. That Bible verse, Jeremiah 1:5 is saying that God intended a unique human being, starting at conception. Just because you can’t see or feel the baby inside of you, doesn’t mean it’s not a baby, and alive and a human being, just like you. That is what a lot of people do not think about, even though you really should.   There also is scientific proof. Some people may think that life begins at birth, or some people even later, but that is wrong, life begins at conception. Because of the fact that the baby forms gradually after conception, then conception is the only real point where you can say that the baby is a living human being. For example, the heart beat starts gradually, over a period of time so conception is the only exact starting point of life. Also, DNA defines a separate human being, and so when does a person form their own DNA? A person gets their own DNA at conception. That is a whole lot of proof, so it is just like saying it is a crime to kill a 1 year old, so why isn’t it a crime to kill a baby when he or she is still in the mother’s womb? That is a question that probably will go unanswered forever, or they will just say that the baby is not living, which is a complete lie.   Now, what can we do about abortion? There many things that we can do about abortion. If you start supporting this pro-life movement then it will keep growing so much then no one will have an abortion. Hopefully then the abortion clinics will shut down, and the law will have to change. But, most importantly you can change the hearts of the people who support abortion, and save the innocent little babies. Now, how can we stop abortion? There are many ways to help stop abortion. Another way is you can donate money to a place like The Pregnancy Resource Center and they will use it to buy an ultrasound machine and to then show the women their babies to try to convince them not to have an abortion. You can also write to the president or another government representative, and tell them about all this proof that I have told you, hoping that their hearts will change and then the law.   In conclusion to all of this, it is spiritually right that life begins at conception, and scientifically there is proof that life begins at conception. There are many ways that you can help stop abortion, so I hope that you take a while and do that. There are a lot of things wrong with having an abortion, so you really should not have one. Just remember that God loves the person getting the abortion AND the beautiful, innocent little babies.   Thank you and I hope that you have realized that life begins at conception, you should help the pro-life movement, and that having an abortion is wrong.   My own mother has 6 children and has never had an abortion!!",0,2
4,What I don't get is people pay to kill their OWN children. They are paying to murder an innosent child. Those people are murderers!! They are killers!! And if they have an abortion more than once it is like they are serial killers!!,0,2
5,"Unborn babies are living things and when you kill them, it is the same thing as killing an adult or a child. God is the creator of life and when you kill unborn babies you are destroying his creations. In the beginning God created Adam by breathing the breath of life into his nostrils. “For you formed my inward parts; you knitted me together in my mother’s womb.” Psalm 139:13.   Abortion is when you kill an unborn baby, and the people who do this are selfish because they don't want to spend money on the baby, confused because they don't want to be pregnant, and evil because they kill children, they also don't trust god and what he provides. If somebody did this they would be breaking the fifth commandment: You shall not murder. He or she is also breaking the first commandment : You shall have no other gods. You should help everyone stay healthy and alive.   I have four sisters and I am glad none of us have been aborted.",0,2
6,"There is a VERY simple answer to the abortion debate:  Abortion should NOT be a form of birth control. It should ONLY be allowed (as a final solution) in the event of a pregnancy resulting from rape, incest, or other sexual crime.",0,2
7,"No, no, no, NO! Abortion should NOT be just another form of birth control. It should ONLY be allowed for victims of rape and sexual abuse that results in pregnancy, and ONLY as a last resort.",0,2
8,"It makes me sick to think that there are people as thick-skulled as you. Living in your ideal little world with lolli-pop forests and marshmallow skies.  Have you ever heard of RAPE, or INCEST? Abortion should NOT be a form of birth control, but for a victim of sexual abuse of any kind, it should at least be a final option.",0,1
9,"YES! EXACTLY! THANK YOU!  Victims of sexual crimes which result in unwanted pregnancy should be afforded the option to abort, but only as a FINAL solution.  And the only other exception would be when birth endangers the life of the mother, but of course, THAT decision would be left to the woman whose life is in danger.  Abortion shouldn't be a form of birth control.  My thoughts exactly. Thank you!",0,1
