,text,label,ground_truth
0,"Men should fall in love with women   Says who?!   that's why they where created   They were not ""created."" They evolved into existence over billions of years.   And you are telling them what their purpose in life is. Your view is irrelevant to what they believe their purpose is.   women should get married to men because it makes ever ting easier.   How exactly does prohibiting someone from marrying who they love because some idiot says they shouldn't ""make ever ting easier?""  That is absolutely absurd.  I will not tolerate any attempt to forcibly take someone's rights because a f@#$in' 2000-year-old book says they should be killed. Who are your to dictate who one can and cannot love?",0,1
1,"I believe that the purpose in life is to grow and advance.   As do I. But it is not right for me to dictate my SUBJECTIVE beliefs onto others out of some perverted sense of duty. That is absurd.   However, in another sense, it is wrong due to the fact that it stops the world from growing in numbers.   Who said homosexuals can't have kids? They simply cannot have them with  each other .",0,2
2,"Okay, I know SEVERAL children of same-sex parents and they turn out wacko.    Define ""whacko."" On a side note, I know SEVERAL children of opposite-sex parents and they turn out wacko.   I'm sorry, I can't support this scientifically   REALLY? Who the fuck would have ever guessed that?   but anyone else at my school will verify this.   You know you have a great argument when your basis is the opinion of a selective group of misguided school children. Obviously they know better than centuries of scientific observation, experimentation, and discovery.   A child who grows up seeing same-sex marriage will learn that it is okay.   I agree. And that is a GREAT thing. What exactly is wrong about homosexuality?   He will even think that it is his decision   No. Homosexuality is NOT a choice. We have scientific evidence to support this....that is unless those school children say otherwise.   Society won't benefit. America will become even more decadent.   WTF?",0,1
3,I agree. It is usually religious beliefs and guidance that stops others from doing a lot.,0,1
4,We are all first humans and then homosexuals or nots. They have rights as we do too. If they love each other than why not. Plus i think that homosexuals are pretty cool. All the ones i know are really nice :),0,1
5,I personally think marriage should be abolished all together. But I also believe anyone should be able to marry if they want to. What does it matter who it is?,0,1
6,"What are friends for? Not that kind of relationship. If I am attracted to a female then I can't help it. And I don't think friends are meant for that intimacy.  Same-sex isn't for marriage because people can't get over themselves. If people want to live together in love than no one else should be able to stop them. Regardless of color, sex, or any other factor that people can't control.",0,1
7,"But because of some all too conservative people, the rights of two people to be happy    Where do we have a right to be happy? I'm only happy if I'm not poor. Does that mean I have a right to money because it makes me happy?   are denied based on out-dated texts and bigoted moral judgments   Who says they're out-dated? Because you disagree they are out of date? If person x believes God says gay sex is wrong, why would that change over any number of years? Your dispute is that you don't believe God says that, but doesn't everyone have a right to religious freedom?  And is it bigoted to say being gay is bad? If you believe fornication (sex out of marriage) is wrong, you believe that in all cases. If you believe gay sex is wrong you believe that in all cases. Does that make someone a bigot? I'd be willing to believe you think murder is wrong in all cases, does that make you a bigot?  You are both arguing two separate points because you have two different life views. While one of you is probably right, it does not necessarily mean that the other is stupid or bigoted to believe in something different.",0,2
8,"I use the term ""arguing"" liberally here, this discussion fell apart a long time ago :)",0,2
9,"Everyone that is not hurting anyone else has the right to pursue their goals in life, and the things that make them happy.   Says who? There is no written protection anywhere in the constitution saying so. It can be inferred, perhaps, but it is not a guaranteed right. As such, the majority can vote on this issue any way they like until the constitution is changed in a legal fashion (i.e. the legislative branch).  Who says they're out-dated? Because you disagree they are out of date?   I do and so does a lot of other people   So? Who are you? Who are they? I can find just as many people (more probably) who disagree with you. Who says your morals are better than theirs?   a freedom granted that they respect other peoples rights and freedoms as well, including those of homosexuals to get married in a civil ceremony,   Again, says who? All of these rights and guaranteed freedoms are nice to talk about, but they just don't exist.   it becomes so when you go out of your way to label and abuse Gay people.   Yes. This is actually what I mean when I said the argument had degraded. The descent into name calling was very immature. Most of my very best friends are gay and I take real offense to comments like these.   Are you seriously equating murder with homosexuality?   No, I'm using the logic of something you believe to be wrong to show you how religious people feel. Did you know that many religions believe homosexual acts are only one step down from murder? Many religions believe God destroys whole cities if they permit homosexuality. But more importantly, this is an attempt to put you in their shoes and show one reason why they have a right to vote to make homosexual marriage illegal.   it is not the right of the religious to force their opinions on any one especially when it has nothing to do with religion.   They have a right to vote their conscious, and it has everything to do with religion. Do you have a right to force your morality on them and have their tax dollars support something they find to be a crime next to murder?",0,2
