,text,label,ground_truth
0,"The Legalization of marijuana would lower are crime rates in the United States of America by at least 15 to 20%. A lot of the US citizens have either used, grew, or sold Marijuana and have gotten caught by the police if we legalized Marijuana we could put restrictions on the use growth and sells of marijuana so that he people who sell grow and use it can sell grow and use it just under certain restrictions. Thats my side for like, yeah man.",0,1
1,"The Legalization of marijuana would lower are crime rates in the United States of America by at least 15 to 20%. A lot of the US citizens have either used, grew, or sold Marijuana and have gotten caught by the police if we legalized Marijuana we could put restrictions on the use growth and sells of marijuana so that he people who sell grow and use it can sell grow and use it just under certain restrictions.",0,1
2,Passive smoking is harmful and secondhand smoke from the use of marijuana increases the chances of others suffering the damage by inhaling the smoke.,0,2
3,"Marijuana is believed to be a stepping-stone drug that can eventually lead to addiction to heroin, cocaine and other harder drugs.",0,2
4,"Many Americans think that the use of drugs is morally wrong, because religious codes prohibit the use of intoxicating substances. Therefore legalizing marijuana would be like legalizing something considered to be immoral",0,2
5,"Marijuana is no more harmful than tobacco or alcohol, if taken in moderate quantities. Tobacco and alcohol are both legal and widely used in the US, regulated by US Food and Drug Administration (FDA). If the abuse of marijuana is harmful, isn't the abuse of tobacco or alcohol equally life threatening? Would you want the government to limit how much alcohol or tobacco you take?",0,1
6,"Marijuana has medical benefits in relation to diseases like cancer, AIDS and glaucoma. It is especially helpful in the treatment of patients undergoing chemotherapy. Hats off to states like California that have initiated the move to legalize the drug, at least for medicinal purposes.",0,1
7,"Crime and violence in the US has increased due to the illegal selling and buying of marijuana. Legalizing it would end the need for indulging in criminal behavior. Also, drug related disputes will come to an end and drug mafias would lose their significance. Police can then concentrate more on serious crimes.",0,1
8,"Marijuana is one of the popular agricultural products in the US. According to an estimate by Californian authorities, annual marijuana sales in the state could be worth 14 billion dollars. And new tax revenues from legalizing marijuana could well exceed 1 billion dollars, just in California. Imagine what the revenue will be if it is legalized in the whole of US!",0,1
9,Some believe that legalizing marijuana may increase crime as people involved in illegal trade of the drug are also involved in other crimes. They consider society is safer with marijuana offenders incarcerated.,0,2
10,"I'm not going to restate all of the reasons that it should be legal said above me, but honestly, it should be legal.  Anything that grows out of the Earth should be legal to do whatever you'd like to do with it.",0,1
11,"Who are you to tell me what I ingest?   If I want to snort cocaine, why can't I? It isn't hurting you.",0,1
12,"I said as much. Not ""Marijuana doesn't hurt your body AT ALL"". And people do have a choice. They can smoke marijuana or they can refrain from smoking it. It just isn't legal.",0,2
13,"Okay. I see where you are coming from. But by legalize it do you mean like cigarettes? As in people could freely smoke in most restaurants (in the ""smoking section"" which isn't always a separate room)?",0,2
14,"Whether it kills people or not, it still is harmful to your body. Ingesting smoke is not good for you. To say something should be made legal because it is less harmful or because it doesn't KILL someone is ridiculous.",0,2
15,Exactly. But that doesn't mean marijuana should be made legal because the other two are. It still harms your body. I don't believe the other two should be legal either. But that is a different topic.,0,2
16,"To say that it should be made legal because it is less harmful to you than alcohol or tobacco is not logical in any sense. The key term to realize here is HARMFUL. Whether it is more or less harmful than other legal drugs doesn't make a difference. It is illegal because of the negative effects it has on your body. To argue that, ""that isn't fair because alcohol and tobacco"" is stupid to say. My reasoning behind this is that alcohol and tobacco aren't illegal because to try to make something illegal that has been legal for so long is nearly impossible. Back when America passed the prohibition laws, they didn't stop anyone from smuggling alcohol into the country. In fact, crime rates went up and eventually they had to re-legalize it.",0,2
17,"Most issues like this, such as sex between minors and alcohol, come down to one thing: it's your choice. If you want to ruin your life, be my guest. It isn't the goverment's job to control that.",0,1
18,"Man, mad props to you. If you can manage all that and still smoke, I have all the respect in the world for you.",0,1
19,"Look man, weed can really screw you up. I had a buddy who went from straight A's to dying because of pot. Hell, if you can manage to get average grades and still smoke, than mad props to you to.",0,2
20,"Here's the solution: Legalize marijuana and just tax it. That'll cut down on law enforcement costs, plus the cops can worry about more important stuff like making sure national heathcare plans don't get passed. Oh wait...",0,1
21,"Reichpride is right. If you don't like the smell, you could move, you could talk to your neighbor, or you could try something revolutionary. You could IGNORE IT!",0,1
22,"Then by your logic, alcohol and tobacco should also be illegal, right?  Because right now in the U.S., those two substances ARE legal to purchase in ANY AMOUNT, from almost any place.  So the question is, since marijuana IS less harmfull to the mind and body than both alcohol and tobacco, WHY are those who use it recreationally, denied to make that choice?",0,1
23,"Of course. The simple reason is: Alcohol and Tobacco.  How can Marijuana be illegal, if Alcohol (which is much more powerful on the mind and body) and Tobacco (which is much more addictive) can be purchased in any amount, at almost any place?",0,1
