,text,label,ground_truth
0,"don't know how accurate this site is, but it gives a good idea of what hes done   http://www.politifact.com/truth-o-meter/                                        promises/    seems hes doing alright so far",1,1
1,"""even an American who knows""  pretty much everyone realizes hes American except people with a case of paranoia.  ""is not honest and unfit to lead"" hes more honest then that chimp bush, or the majority of politicians.  ""he tell the truth no ""  about what?",1,1
2,"I'm British/American, currently living in wales, but I'm pro obama since he hasn't royally screwed up like bush. and it was either him or McCain, and with Sarah as Macons vice, if something ever happened to McCain and Sarah became president...I'm sorry but i wouldn't be willing to take the risk.",1,1
3,but did you know obama's supporting the building of an islamic culture centre   at the site if the twin towers   also did you know that his aunt is an illegal immagrant living in the U.S not working but getting benifits.(so in other words your taxes are paying the upkeep of barrack obamas aunt),1,2
4,are you some sort of puppet account or some thing because this is your only argument,1,2
5,"""(of which I have a few hundred). ""    if you had a few hundred you would have a few hundred points instead of just 14",1,2
6,sorry you are correct   I apoligise for my mistake .,1,2
7,"""I am anti-Obama. I am not racist,""    im anti-obama because I'm racsit (not to all blacks just to him because he's black) why cant he go back to the country his parents came from and become leader over there",1,2
8,"""Obama was elected because he had a better message""    yeah people only listened to him 'cause he was black they dont listen to normal politicians    ""He won by a lot, way more than 17% and you realize black people only make up around 17% of the population right?""    he didnt represent black people he represented all non-whites",1,2
9,to be honest i dont give a damn about colour i just want an excuse to hate the american president,1,2
10,the media decide everything thats involves the majority of the population .,1,2
11,OK I DONT KNOW WHERE MY ORIGINAL COMMENT OF THIS SATEMENT IS (someone probably deleted it) But some noob(probably with puppet accounts)(also probably an ally of qymosabi) is downvoting all the anti-obamas and upvoting all the pro-obamas,1,2
12,thanks i thought i lost it :D,1,2
13,"""Obama is another Hitler""    I agree did you know obama is an anagram of hitler all you got to do is change a few letters and stick another in  o=h  b=i  a=t  m=l  a=er  also some complete noob(probably with puppet accounts)(also probably in league with qymosabi)is down voting all the anti-obamas and up voting all the pro-obamas",1,2
14,"If it were possible, England would flip over.   WHAT IS THE USA DOING TO OUR LANGUAGE?!",1,1
15,George Washington was worse he was a  theif  and he wasn't even elected.,1,1
16,"""Theif"" because he stole a whole colony. So in a sense, yes.",1,1
17,"Good find.   The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.",1,1
18,Killing babies isn't wrong. It's called population control. Besides. We could use those fetuses for stem cell research.,1,1
19,"Obama is doing fine. Hell, I'll vote for him in 2012. His election brought a lot of racists out of the woodwork which happens to include, (big surprise), the majority of the Republican Party. Obama isn't the next Hitler. If you think so then you've been listening to/watching to much Glenn Beck. I say GObama. (Go + Obama)",1,1
20,"Well, I'm not wrong. Some people just can't seem to let go of their old ways. If the idea of an African-American as the President of the United States makes you uncomfortable as it did so many people, you're a racist.",1,1
21,You could. But that would be flawed just like the rest of your logic.,1,1
22,"He's cool. I don't care about his political views. He seems like a really good person. Hell, I wish I could sit down and have dinner with him, George Bush, and Bill Clinton.",1,1
23,It's either Obama or Palin and I really think you want Obama.,1,1
24,I don't see why not if they gave Bush two terms...................,1,1
25,"He said that most racists are in the Republican party, not that everyone who doesn't support Obama is racist.",1,1
26,"People are pissed off right now. The economy sucks. We're worried about terrorism. We're all going to look at Obama through that pissed off lense. The same thing that's happening to Obama happened to Reagan, too.",1,1
27,"Yes, and while ""giving it"" to those mean racists is important, I'm afraid I have to tell you something that should sadden you deeply:  The country is in ruins; Barack Obama is  not  working.   Get off your elitist high horse and face reality.",1,2
28,Nice!  Breaking News     Liberals are voting for Obama because he's  black .  Such racism...,1,2
29,"I disagree with everything you said, but one thing truly stood out as grotesque and ignorant.    Glenn Beck, seriously?   What is your problem with Glenn Beck? I understand that his religion is insane, but so is yours. (I'm an Atheist.)  I mean, you have people like Rachel Maddow; she makes me want to cut my wrists while sitting in the middle of the desert with no liquids or food.   The issue with liberals is that they simply ""check off/dismiss"" people (like Glenn Beck) because they may have heard some propaganda on YouTube about how they're ""hicks"" and shit.  Do your research. Don't hate him because of his background.",1,2
30,"Of course that makes a little sense, but that's murder. And I dont care that he's black he's also an idiot!",1,2
31,"HE IS SPENDING A CRAP LOAD OF MONEY AND WE ARE ALL GOING BROKE. IF YOU WANT TO LEARN HOW TO FIX IT LOOK UP THE UNKOWN DEPRESION OR FORGOTTEN DEPRESSION. IT'S WAS A PRES THAT WAS A LOT LIKE OBAMA AND COMPLETELY RUINED OUR ECONOMY, THE NEXT PRES COMPLETELY CUT GOVERNMENT SPENDING AND THE ECONOMY WAS BETTER BEFORE HIS PRESIDENCY WAS OVER!!!!!!!",1,2
32,Obama is another Hitler. There is not an ounce of capitalism or freedom in him.  Why won't anybody in the media talk against him?  Its because of the fairness doctrine. You're not allowed to speak against him.  Stop listening to the liberal media.,1,2
33,Obama is gonna turn America into the USSA United Socialist States America  or the LSA Liberal States America.  There is not an ounce of capitalism or freedom in him.,1,2
34,"He hasn't really done much, except for spend money that we don't have and talk a lot. In fact, I'd say he's kind of like a real housewife of NJ because he loves to ""shop"" and talk. ;)  And yes, I can say that because I'm  from  NJ. lol just kidding, anyone can mock them.",1,2
