,claim,text,label
0,Male infant circumcision is tantamount to child abuse,"Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child ",0
1,Male infant circumcision is tantamount to child abuse,Parents know what best for thier child ,0
2,Male infant circumcision is tantamount to child abuse,Parents have the right to make the decisions for their child,0
3,punishment should fit the criminal,It will cause less re-offenders.,1
4,punishment should fit the criminal,Adequate punishment reduces future offenses.,1
5,punishment should fit the criminal,Just punishment will lead to less criminals re-offending. ,1
6,punishment should fit the criminal,The onus should not be on punishing the criminal.,0
7,punishment should fit the criminal,Punishment should not be the primary focus.,0
8,punishment should fit the criminal,Our  main goal should not be punishing the criminal. ,0
9,A government has the obligation to lessen the economic gap between its rich and poor citizens,True individual freedom cannot exist without economic security and independence,1
10,A government has the obligation to lessen the economic gap between its rich and poor citizens,The wealth gap does not allow for equality between the rich and the poor and so it should be reduced.,1
11,A government has the obligation to lessen the economic gap between its rich and poor citizens,Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.,1
12,A government has the obligation to lessen the economic gap between its rich and poor citizens,Wealth gap undermines equality of opportunity; reducing it makes society fairer.,1
13,A government has the obligation to lessen the economic gap between its rich and poor citizens,The Rich Poor Gap Silences the Political Voice of the Poor,1
14,We Should Question Authorities,Why is the authority figure there?,1
15,China should be allowed more control over its own seas,Sovereignty of the Seas,1
16,China should be allowed more control over its own seas,China should have freedom of the seas.,1
17,Islamic State/Daesh is the most significant threat to the west,Daesh and the Syrian civil war is nurture terrorism for export ,1
18,Islamic State/Daesh is the most significant threat to the west,There are other larger threats.,0
19,Islamic State/Daesh is the most significant threat to the west,More significant threats than the Islamic State exist for the west.,0
20,Islamic State/Daesh is the most significant threat to the west,The Islamic State is not the biggest concern for the western world.,0
21,Islamic State/Daesh is the most significant threat to the west,There are more important threats to focus on,0
22,Islamic State/Daesh is the most significant threat to the west,The west is insulated by distance from Daesh,0
23,All countries should have the right to pursue a nuclear defence,Small countries would be able to pursue their independence without having to rely on larger countries.,1
24,All countries should have the right to pursue a nuclear defence,"Disarmament would actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed.",1
25,All countries should have the right to pursue a nuclear defence,"Small countries would no longer need the protection of larger ones, so could become more politically independent.",1
26,All countries should have the right to pursue a nuclear defence,"Disarmament would actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed.",1
27,All countries should have the right to pursue a nuclear defence,"Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed",1
28,All countries should have the right to pursue a nuclear defence,Thus the super power model will be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’.,1
29,All countries should have the right to pursue a nuclear defence,All the people worldwide have the same rights and are equal to one another. ,1
30,All countries should have the right to pursue a nuclear defence,The pursuit of nuclear defence (respectively the possession of nuclear weapons) by more countries is a guarantee for peace. ,1
31,All countries should have the right to pursue a nuclear defence,Humanitarian intervention becomes impossible in states that possess nuclear weapons,0
