text,label
"Birth control is not 100 percent effective; one of my coworkers was on birth control and conceived. Now she is a proud mother.   Conceiving while on birth control isn't always due to incorrect application or use of the birth control, sometimes a person just falls into that .01 percent where the birth control failed to do what it was meant to. In that sense, considering a person taking it who didn't intend on having a baby and the birth control failed, I would support her if she decided to have an abortion.  And who's to say those who are allergic to certain types of birth control aren't already considering the possibility of conceiving? Would thinking ""of the consequences before... sex"" justify a person’s decision if they conceived and wanted an abortion? If not then why even bring that up?",1
Okay...  --------------------------------------- -------------------------,1
"I agree completely ! And abortion doesn't make you ""unpregnant"". It just makes you the mother of a dead baby !",0
"You're not bringing any new arguments to the table, so stop spamming!",1
"Yes, There is no shame, women fail to carry a fetus to term more often than not without artificially inducing rejection, medical abortion only artificially induces this natural process, the artificiality of inducing this seems like it has no more moral significance than it occuring naturally. This is because the fetus doesnt develp consciousness until the onset of the third trimester - prior to this point (more than ~99% of all abortions occure in the 1st trimester) there is no moral status to the actions taken with regards to the preservation of the fetus. This is true for surgical abortions too since they also occure during the first trimester.   The morality of abortion has to do with the freedom to have them, not the act of doing them, since the act of doing them is for all reasonable accounts an a-moral action. It should be everyone's right to have an abortion because people should have the right to self determination when no other moral agent will be harmed by such actions.",1
"FINING UNPROTECTED SEX?  So what? Do you plan on having the Government check every couple for a condom in the middle of it all?  That is a serious invasion of privacy.  The system would not work. Simple.  The concept of jail-time is just ridiculous, surely you must even see how ridiculous that actually is.",0
"Wasting the condom therefore would be the same as wasting a child's life, using your reasoning.  That is NOT my reasoning. I have some tests coming up so i won't respond immediately perhaps this weekend I'll write something up summarizing my position. Responding and not stating may of lead to confusion. My responses have been criticisms of the argument from sapience you have been making, not a argument for or against abortion themselves. Instead of being reactive I'll be active, so far this debate has been very helpful. i think i can now put explicitly my objections but i won't have time to make sure their elegant, concise etc till the weekend. I likely won't get on this website till then, or Friday.",0
"What you on about? LOL you actually make laugh  God loves killing babies?  If God loved killing babies would you not be dead?  God loves children you fool.  Your just an idiotic athiest who doesnt even know what he's talking about.     Have you ever read the bible? The biblical god has smote children on more than one occasion. The common examples are the flood (children were among those to be drowned), and the first-born of Egypt (as if a first-born child has any idea of what's going on at that age, and deserves death). Then there are battles in which the god-approved side was given the approval (blessing) to kill everyone in the opposing side, including sacking their cities, and their women and children. Also, do not forget that a kid who is disrespectful towards his or her parents is to be put to death.",1
"Adoption is not an alternative to abortion, because it remains the woman's choice whether or not to give her child up for adoption. Statistics show that very few women who give birth choose to give up their babies - less than 3% of white unmarried women and less than 2% of black unmarried women.",1
"Abortion is horrible. It disgusts me. Why are people so selfish that they would take a life? Does no one care about the miracle of life anymore? Even if a person doesn't want the baby, put it up for adoption! There are many women who are barren, and this give that child, not ""Fetus"", but PERSON a chance!",0
"The reason I'm breaking it all down for all you pro-life people is that YOU ALL feel the need to project YOUR GUILT on others who has the view that they're not killing a person! It's your guilt, not others'. Feel it yourself! Go to confession if you're Catholic. Do whatever you need to do.  You all keep telling us that it's murder! I can safely say that about 9/10 arguments found on here are based upon that ONE SINGLE point, which may I add is completely incorrect! It's how we see it. If you don't like that, then we pity you. Just don't force your view on us and then try to push for a law that govern our lives too!  Reproduction means the world to the human race? What about unchecked reproduction like in China and India where the one child policy has created more problems and actual murders then is necessary?  We all agree that at the end of the 9 months it's an actual human life. I actually made the point that at week 20 it has a slight chance of survival and should be saved, as society can now intervene.",1
"All of us were once a fetus. That is a child. Obviously, none of you chose to watch the posted video, silent screams? Or how about the facts about a 10 week fetus.   The whole argument is whether it is a person or not. Just because the law says it not, does not make that right. We are challenging the law. This is also our constitutional right.",0
Paying high taxes ios a lesser evil than tolerating the murder of unborn children.   But I agree with you about sex education and birth controil.,0
"Any creature with a nervous system has ""feelings"", what I am referring to are thoughts and emotions.   Are you saying that a new born does not have thoughts and/or emotions?   It is both, humans maybe parasites for the first nine months of their existence, but they are still human.   I did not say that the fetus is not a Homo sapien. No fair minded person will accuse me of saying such a thing.   Thus killing a human being.   So? You have not shown that this is morally wrong in any way.   You made the point earlier that unborn babies are not human, but rather parasites. Unborn babies still fit the definition of ""parasite"" regardless of what trimester they're in. Do you contend that the unborn baby can be both a parasite and a person at the same time?   I said that fetuses are parasites. But I did  not  say that they are not Homo sapien. Get your facts right. For example, a tick can both be considered an arthropod and a parasite.  In any case, you still haven't shown that abortion is morally wrong.",1
Only for women who's lives are in danger and the baby is too young to survive.,1
"Contrary to popular belief Roe v. Wade never legalized abortion. It stated that until the fetus became viable to live on it's own if it was taken out of the woman that her right to privacy outweighed the state's interest in the protection of life. It also stated that until the child is born it is in effect outside the jurisdiction of the United States and therefore NOT entitled to protections offered to citizens of the United States. The only protection that could be offered to the fetus was in a manner that servered the state's intrest while protection the privacy of the woman. (in other words the fetus had no rights and the ablity of the state to interfer with pregenacy was limited in the absolute extreme)  By legalizing abortion you are, in effect, giving the government jurisdiction inside your body. I for one think that government has no right inside a person's body.  Keep the current rule that abortion is neither legal nor illegal becuase it's outside the juristiction of the goverment. Keep a person's body soverign to themselfs only.",0
"If someone got aborted, they wouldn't be around to like it or not. They would have been terminated before they developed a consciousness.   Also, the 'choice' is in pro-choice for a reason. It's fine to for a mother to chose to keep a baby, if she wants to.",1
An old man? You can't be much passed 55 by now.  ........................,0
"Depends on how far along the child is, if the pregnancy is not past the first trimester then no it is not taking a life.   For it has nothing to be innocent of, it has not yet lived to experience things that would make it innocent or guilty which are both conscious thought processes that a baby does not possess especially as a fetus.   A fetus is a parasite, living off of the host until the pregnancy has been full filled and the baby has been birthed. Only then would it be the taking of an innocent life.",1
"A fetus is NOT a human, just a mass﻿ of tissue  Abortion is safer than childbirth  The number of abortions are relatively small  Nobody has the right to impose their morals on others  A woman should be able to control her own body  Abortion must be kept legal, especially for all the rape and incest pregnancies  If abortion is outlawed women will be forced to go to back-alley abortion clinics  Aborting an unwanted fetus reduces the number of abused children",1
Yea abortion should be legal!!!!!!! Even though i do not like the thought of innocent babies being killed for no reason at all. I would much rather see that happen then having children being starved and abused and neglected!,1
"A women should be able to choose what happens with her body, especially concerning abortion and babies.  Not because I support abortion, but what if you were the child of a mom?  What if that mom only had you grudgingly because she was forced to have you, abortions being outlawed?  Would you really want to grow up unloved? A child who's own mother would have aborted you?   Worse than an accident, you are a person whom the people you are supposed to love, and are supposed to love you would rather have had you dead than given birth to you.  In reality, it's not that bad, but forcing a mother to give birth to an unwanted child is cruel, and with the human population this high, with plenty of orphans already, why make more? Why go to the trouble and the pain for the mother, and the child, the entire family, and the whole world, when abortion could be an option?  I support safe sex and planned pregnancy, I think abortion is murder, as is war or any human killing another human, but killing does happen. Every time you eat, you are eating something that was killed, plant or animal.  If it reduces pain in the world, then you should be able to abort.",1
Abortion should not be legal because if we could just get rid of abortion we could get save some of our and your tax dollars that pay for abortion and plus seeing as my tax dollars pay for someone to have an abortion or murder the child its like im helping the person kill the child as are all of us medical neccesity is fine but as far as im concerned i dont think i should have to pay for someone to kill their kid,0
