text,label
"@USER so glad that the ruling class doesn't get the covid. i'm not going to where a mask because i want to be like them!
#nomaskforme #maga 🍔⛳💰🇺🇲",1
"@USER i just wish the corrupt #democrats stfu!!!!🤬
#trump2020nowmorethanever #americafirst #maga 
great again HTTP",1
@USER it’s genius. the #democrats fall for it every time! #maga,1
@USER biden alone can fix it! #gop #trumpsamerica,0
the other swing voter  #2020elections #donaldtrump #blackvoters #blacklivesmatter #defeatingtrump #resistingtrump #swingvoters #joebiden #non-voters #voterturnout #gotv #getoutthevote #votersuppression #leftpolitics HTTP,0
"#rnc2020 ...so far...
fear mongering, frowning hate filled face spewing division and lies.",0
"caused mass incarceration against african americans, and has been in politics for 40 years. why didn’t he do something to cut a slice off institutional racism when he was vp? do nothing democrats #trump2020 #wakeupamerica #hidenbiden #",1
@USER i live in the suburbs &amp; i'd take #antifa / #blm as neighbors over #maga ppl. 🤷‍♀️you &amp; all your racists followers can go inhabit a deserted island. it would be interesting to see how long all you anti-intellectual's would last. 🤣,0
"@USER @USER no more debates, trump is a moron &amp; cannot stop talking over everyone. ridiculous &amp; absurd. 

#debates2020 #bidenharrislandslide2020 #meltdown #americaortrump #liarinchief #bidenvstrump #trumpmeltdown #adderall #taxreturns @USER #covid19  #presidentialdebate2020 #shutupman",0
"@USER @USER your watching way to much rachel maddow.  biden is a china puppet,  putin hates president trump for building worlds strongest energy independent nation,  self sufficient,  also trying to wean europe from russian oil, 
any hope for you hater/dividers",1
@USER is a charter member of the pathetic cowards for trump  #maga HTTP,0
"@USER with ya.  (but dammit, i'll vote for him if i have to.)

#votebluetosaveamerica",0
@USER god help us if trump doesn’t win 🇺🇸 #trump2020,1
"i’m just gonna say this: if trump wins i’m gonna put a lot of blame on white-leftist who don’t really care about what happen to minorities, but they just want to keep their “principles and values” and refuse to support biden.",0
"@USER your entire existence is a farce. a lifestyle of profiting off the backs of others.

#trumpmeltdown #trumpisatraitor #trumphatesourtroops #voteblue #nepotism",0
"i've all but lost half of my family due to ""differences"" of political opinion. on the bright side, i'm having a long-running conversation with a bright young colleague who lives in the bay area and for whom the lights are beginning to come on...

#alllivesmattter #trump2020",1
@USER you speak about anger and division and name calling?! really!? listen to anything you and the #democrat party say when it is something that disagrees with your view. you become ruthless demons and do anything you can to get your followers to attack them. #hypocrisy,1
"@USER bravo 👏🏼 👏🏼
time for everyone to get together behind #biden (not my first or second choice either) to defeat trump
#2020elections",0
"@USER you just want to harvest their children.

#maga",1
